type,destId,url
jalan_empty_page,観音寺,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3764408&pid=892559858&vc_url=https%3A%2F%2Fwww.jalan.net%2Fuw%2Fuwp2011%2Fuww2011init.do%3Fkeyword%3D%258D%2581%2590%25EC%258C%25A7%2520%258A%25CF%2589%25B9%258E%259B%26screenId%3DUWW1402&checkin=2026-04-20&checkout=2026-04-21
jalan_title_ng,尾瀬,
